staffpin,confirmation_date
00019590,1999-07-01
00019597,1999-07-01
00019599,1999-07-01
00019609,1999-07-01
00019614,1999-07-01
00019622,1999-07-01
00019628,1999-07-01
00019636,1999-07-01
00019660,1999-07-01
00019665,1999-07-01
00019677,1999-07-01
00019688,1999-07-01
00019702,1999-07-01
00019713,1999-07-01
00019715,1999-07-01
00019730,1999-07-01
00019760,1999-07-01
00019793,1999-07-01
00019809,1999-07-01
00019816,1999-07-01
00019827,1999-07-01
00019828,1999-07-01
00019848,1999-07-01
00019858,1999-07-01
00019864,1999-07-01
00019865,1999-07-01
00019867,1999-07-01
00019886,1999-07-01
00019891,1999-07-01
00019893,1999-07-01
00019895,1999-07-01
00019900,1999-07-01
00019915,1999-07-01
00019920,1999-07-01
00019929,1999-07-01
00019940,1999-07-01
00019949,1999-07-01
00019952,1999-07-01
00019955,1999-07-01
00019958,1999-07-01
00019967,1999-07-01
00019981,1999-07-01
00019983,1999-07-01
00019985,1999-07-01
00019987,1999-07-01
00019988,1999-07-01
00020005,1999-07-01
00020014,1999-07-01
00020036,1999-07-01
00020045,1999-07-01
00020049,1999-07-01
00020078,1999-07-01
00020079,1999-07-01
00020080,1999-07-01
00020107,1999-07-01
00020114,1999-07-01
00020119,1999-07-01
00020139,1999-07-01
00020148,1999-07-01
00020150,1999-07-01
00020167,1999-07-01
00020171,1999-07-01
00020175,1999-07-01
00020178,1999-07-01
00020187,1999-07-01
00020192,1999-07-01
00020194,1999-07-01
00020196,1999-07-01
00020200,1999-07-01
00020202,1999-07-01
00020207,1999-07-01
00020212,1999-07-01
00020213,1999-07-01
00020214,1999-07-01
00020233,1999-07-01
00020243,1999-07-01
00020248,1999-07-01
00020250,1999-07-01
00020253,1999-07-01
00020264,1999-07-01
00020280,1999-07-01
00020299,1999-07-01
00020302,1999-07-01
00020312,1999-07-01
00020324,1999-07-01
00020326,1999-07-01
00020332,1999-07-01
00020353,1999-07-01
00020358,1999-07-01
00020359,1999-07-01
00020367,1999-07-01
00020373,1999-07-01
00020387,1999-07-01
00020392,1999-07-01
00020407,1999-07-01
00020423,1999-07-01
00020438,1999-07-01
00020440,1999-07-01
00020441,1999-07-01
00020447,1999-07-01
00020451,1999-07-01
00020458,1999-07-01
00020475,1999-07-01
00020480,1999-07-01
00020484,1999-07-01
00020487,1999-07-01
00020490,1999-07-01
00020503,1999-07-01
00020514,1999-07-01
00020517,1999-07-01
00020525,1999-07-01
00020533,1999-07-01
00020534,1999-07-01
00020535,1999-07-01
00020572,1999-07-01
00020587,1999-07-01
00020590,1999-07-01
00020614,1999-07-01
00020642,1999-07-01
00020683,1999-07-01
00020689,1999-07-01
00020699,1999-07-01
00020701,1999-07-01
00020703,1999-07-01
00020737,1999-07-01
00020740,1999-07-01
00020764,1999-07-01
00020776,1999-07-01
00020783,1999-07-01
00020785,1999-07-01
00020795,1999-07-01
00020802,1999-07-01
00020812,1999-07-01
00020819,1999-07-01
00020863,1999-07-01
00020885,1999-07-01
00020917,1999-07-01
00020922,1999-07-01
00020927,1999-07-01
00020933,1999-07-01
00020934,1999-07-01
00020938,1999-07-01
00020939,1999-07-01
00020941,1999-07-01
00020950,1999-07-01
00020957,1999-07-01
00020959,1999-07-01
00020961,1999-07-01
00020964,1999-07-01
00020970,1999-07-01
00020971,1999-07-01
00020979,1999-07-01
00020983,1999-07-01
00020988,1999-07-01
00020999,1999-07-01
00021028,1999-07-01
00021035,1999-07-01
00021090,1999-07-01
00021092,1999-07-01
00021094,1999-07-01
00021096,1999-07-01
00021112,1999-07-01
00021113,1999-07-01
00021153,1999-07-01
00021160,1999-07-01
00021166,1999-07-01
00021167,1999-07-01
00021170,1999-07-01
00021175,1999-07-01
00021180,1999-07-01
00021184,1999-07-01
00021202,1999-07-01
00021207,1999-07-01
00021210,1999-07-01
00021211,1999-07-01
00021212,1999-07-01
